Dataset / Benchmark,Year,Primary Task,Secondary Task / Variant,Scientific Domain,Modality,Interaction Setting,Resource Type,Scale,Reasoning Capability,Reasoning Representation,Supervision Level,Reasoning Producer,Construction & Grounding,General Validation,Reasoning Human-Checked?,Reasoning Human-Check Details,Errors Included?,Error Origin,Error Granularity,Error Labels / Taxonomy,Errors Human-Checked?,Error Human-Check Details,Best-Supported Use,Key Limitation,Paper / Project URL,Dataset URL,Inclusion Status,Evidence Confidence
BioASQ Ideal Answers,2013–,Question answering,Literature synthesis,Biomedical science,Text,Static,Benchmark suite,Annual challenge; varies,Evidence synthesis,Ideal answer,R2,Biomedical experts,Expert-authored answers grounded in literature,Expert evaluation,Yes,Ideal answers are produced and assessed by biomedical experts in the BioASQ evaluation process.,No,N/A,N/A,N/A,N/A,N/A,Biomedical answer and explanation generation,Not necessarily step-by-step reasoning,http://bioasq.org/,,Likely include,High
PubMedQA,2019,Question answering,Paper comprehension,Biomedical science,Text,Static,Benchmark and training dataset,To verify,Evidence synthesis,Long answer / rationale-like explanation,R2,Paper authors / annotators,Questions derived from biomedical abstracts,To code,Source-derived,Long answers are derived from conclusions written by scientific-paper authors; no separate process-trace verification.,No,N/A,N/A,N/A,N/A,N/A,Biomedical reasoning over abstracts,Long answers may summarize conclusions rather than expose process,https://arxiv.org/abs/1909.06146,,Likely include,Medium
QASC,2020,Question answering,Evidence composition,General / elementary science,Text,Static,Evaluation benchmark,"9,980 questions",Multi-hop reasoning,Two-fact chain,R1,,Two facts combine to support an answer,To code,Yes / partial,Candidate fact pairs were filtered and validated by human annotators; they remain evidence chains rather than complete explanations.,No,N/A,N/A,N/A,N/A,N/A,Multi-hop evidence composition,Candidate chains may not constitute complete explanations,https://arxiv.org/abs/1910.11473,,Likely include,Medium
MedMCQA,2022,Question answering,Clinical problem solving,Clinical medicine,Text,Static,Evaluation benchmark,194k+ questions,"Medical reasoning, spanning multiple types (factual, multi-hop, analogy, comparison, mathematical, treatment, diagnosis, etc.) per a manually annotated 25% sample using the ARC/Clark et al. (2018) reasoning-type taxonomy",Final answer; explanations may be partial,R0/R2,Exam-preparation source materials (unspecified -- no consistent textbook/reference citation confirmed in released explanations),"Questions sourced from AIIMS & NEET PG medical entrance exams, used to evaluate graduate medical students' professional knowledge; explanations sourced separately from exam-preparation reference materials, present for roughly half of questions",Similarity-based deduplication of near-duplicate questions across train/dev/test splits; no separate QC process reported for explanation accuracy,"No independent human-check reported -- explanations are reference-text excerpts, not separately verified",Explanations are excerpted from exam-preparation reference materials rather than independently authored or reviewed; no separate correctness check is reported.,No,N/A,N/A,N/A,N/A,N/A,Large-scale medical QA,"Explanation coverage is ~50% (not universal); some duplicate/low-quality explanations reported; no independent accuracy verification; reasoning-type categorization covers only a 25% sample, not the full dataset, and per-category proportions aren't reported numerically",https://arxiv.org/abs/2203.14371,,Likely include,Medium
ScienceQA,2022,Question answering,Explanation generation,General science,Text + image,Static,Benchmark and training dataset,"21,208 questions",Multimodal reasoning,Lecture + natural-language explanation,R2,Human / dataset authors,Questions paired with contextual lectures and explanations,To code,Yes / source-curated,Lectures and explanations were collected and curated with the questions; exact independent reasoning verification should be checked in the paper.,No,N/A,N/A,N/A,N/A,N/A,Multimodal explanation generation,Explanations may be answer-conditioned,https://arxiv.org/abs/2209.09513,https://scienceqa.github.io/,Include,Medium
SciBench,2023/2024,Question answering,Quantitative problem solving,Physics / chemistry / mathematics,Text,Static,Evaluation benchmark,692 problems,Quantitative reasoning,Worked solution (verify),R0/R2,,,,Source-derived,Solutions originate from college-level instructional materials; independent process verification is not the benchmark's main contribution.,No,N/A,N/A,N/A,N/A,N/A,College-level scientific problem solving,May primarily evaluate final answers,https://arxiv.org/abs/2307.10635,,Borderline,Medium
SciEval,2024,Question answering,Broad scientific evaluation,Multidisciplinary science,Text,Static,Benchmark suite,To verify,Broad scientific reasoning,Mixed / rubric (verify),R0/R2,,,,Not reported / verify,Based on the current inventory; verify against the full paper and annotation appendix.,To verify,Not reported,Not reported,Not reported,Not reported,Not reported,Broad science capability evaluation,Scope and process annotations need verification,,,Borderline,Low
BMMR,2025,Question answering,Bilingual multimodal multidisciplinary reasoning,Multidisciplinary,Text + image,Static,Benchmark and training dataset,"100K questions: 20K evaluation, 80K training",Multidisciplinary problem solving,High-quality reasoning path,R2/R3,Automated pipeline with human-in-the-loop curation,"Questions from books, exams, and quizzes are curated and filtered through a human-in-the-loop pipeline.",Human-in-the-loop filtering and curation,Yes,Each instance is paired with a reasoning path curated through a human-in-the-loop process.,Verifier analyzes reasoning errors,Model-generated reasoning paths,Step / process level,Fine-grained process-verifier signals; exact taxonomy to verify,Partial,Human curation applies to dataset creation; verifier labels are model-based unless otherwise stated.,Training and evaluation of multidisciplinary multimodal reasoning,Reasoning-path provenance and per-step human verification should be checked in the paper.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/5acd3c628aa1819fbf07c39ef73e7285-Abstract-Datasets_and_Benchmarks_Track.html,,Include,High
FrontierScience,2025/2026,Question answering,Expert problem solving,Multidisciplinary science,Text,Static,Evaluation benchmark,700+ total; 160 public gold,Advanced scientific reasoning,Granular scoring rubric,R2/R3,Domain experts,Newly authored Olympiad and PhD-level tasks,Expert rubric-based grading,Yes,Problems and granular rubrics were authored and reviewed by domain experts.,No,N/A,N/A,N/A,N/A,N/A,Frontier scientific reasoning evaluation,Rubrics are not necessarily full reference traces,,https://huggingface.co/datasets/openai/frontierscience,Likely include,Medium
MedThink R-Path,2025,Question answering,Multimodal diagnostic reasoning,Pathology,Image + text,Static,Benchmark and training dataset,To verify,Diagnostic reasoning,Natural-language rationale,R2,LLM / hybrid (verify),Rationales added to pathology VQA data,To code,Yes,MLLM-generated rationales were produced in a semi-automated pipeline and paired with human-annotated QA data; humans review/annotate the resulting rationale data.,No,N/A,N/A,N/A,N/A,N/A,Pathology multimodal rationale generation,Generated-rationale quality and provenance need verification,,,Likely include,High
