Dimension,Question It Answers,Suggested Values / Examples,Important Distinction
Primary Task,What scientific operation is the model expected to complete?,QA; claim verification; paper comprehension; explanation/proof generation; data analysis; hypothesis discovery/verification; workflow execution,Task describes the objective and expected output.
Secondary Task / Variant,What narrower operation or variant is involved?,Evidence retrieval; diagnosis; equation discovery; hypothesis ranking; error detection,Use this for specificity without proliferating primary categories.
Scientific Domain,Where is the task situated?,Medicine; biology; chemistry; physics; materials science; multidisciplinary,Domain is not a task.
Modality,What forms of information are provided or produced?,Text; image; table; code; graph; molecular structure; mixed,Multimodality is not a task.
Interaction Setting,How does the system act while solving the task?,Static; staged; executable; tool-using; agentic; interactive,"Agenticity is a solution setting, not the scientific objective."
Resource Type,What kind of resource is this?,Evaluation benchmark; training dataset; benchmark suite; repository/meta-dataset,Training resources and repositories are not tasks.
Reasoning Capability,What kind of inference is required?,"Deduction; induction; abduction; causal; mechanistic; quantitative; statistical; evidence evaluation/synthesis; methodological/experimental-design critique","Capability and task may cut across one another. Splits into Content-level (mechanistic, causal -- reasoning about the phenomenon itself) and Process-level (the rest -- domain-general scientific-inquiry skill applied to a scientific task) per Zimmerman (2000) and Klahr & Dunbar (1988); see reasoning_capability_types.csv for full definitions."
Reasoning Representation,What explicit form of reasoning is exposed?,Evidence; rationale; worked solution; entailment tree; graph; code; workflow; critique; revision,Representation is the survey's central analytic dimension.
Supervision Level,How much explicit process information is available?,R0 final answer; R1 evidence; R2 rationale; R3 structure; R4 workflow; R5 critique/revision,"This is a proposed analytical abstraction, not an established literature standard."
Scale,How large is the resource?,Question/example count; instance count; problems; hours (as reported by the source),Report the resource's own reported scale metric; don't normalize across resources that use different units.
Construction & Grounding,How was the resource - and its reasoning representation - built?,Expert-authored; sourced from textbooks/papers; automatically generated/extracted; human-in-the-loop pipeline; synthetic perturbation,Describes provenance of the data itself; whether that data was later checked is a separate question (see General Validation and Reasoning Human-Checked?).
General Validation,What quality-control process was applied to the resource as a whole?,Expert annotation; human-in-the-loop curation; execution-based checks; automated multi-agent verification; expert rubric-based grading,"Distinct from Reasoning Human-Checked? and Errors Human-Checked?, which are specific to whether the reasoning trace or error labels (not the resource generally) were checked."
Best-Supported Use,What is this resource most defensibly used for, given how it's actually coded?,"e.g., ""Biomedical answer and explanation generation""; ""Multi-hop evidence composition""",A scoped, evidence-backed recommendation - not a claim about every possible downstream use of the resource.
Key Limitation,What is the main caveat a reader should know before relying on this resource's reasoning signal?,"e.g., partial explanation coverage; unverified provenance; answer-conditioned explanations; normative rather than process-faithful structure",Name the specific limitation found during verification; don't just restate the Supervision Level.
Inclusion Status,Does this entry clear the survey's scope bar for explicit scientific reasoning, and how confidently?,Include; Likely include; Borderline; Training resource only,"Derived mechanically from Supervision Level, not an independent judgment call - see ""Inclusion status is derived from Supervision Level"" below for the full rule."
